ticker,asset,contract_open,hour_of_open,opening_pup,momentum_1min,momentum_3min,mean_pup_5min,pup_vol_5min,conviction_spread,volume_log,actual_outcome,target,volume,n_rows,is_clean,prev_open_pup
KXBTC15M-26FEB161830-30,BTC,2026-02-16 15:15:00,15,0.48,0.04830000000000001,0.026700000000000057,0.5209400000000001,0.08397410553259856,0.040000000000000036,11.87546915408578,DOWN,0.0,143697.0,15,True,
KXBTC15M-26FEB161845-45,BTC,2026-02-16 15:30:00,15,0.535,0.015000000000000013,0.09199999999999997,0.6039,0.06623322429113652,0.07000000000000006,11.892867615847306,UP,1.0,146219.0,15,True,0.48
KXBTC15M-26FEB161900-00,BTC,2026-02-16 15:45:00,15,0.495,0.02400000000000002,0.29200000000000004,0.6677,0.1356540305335599,0.010000000000000009,11.719337827288744,UP,1.0,122925.0,15,True,0.535
KXBTC15M-26FEB161915-15,BTC,2026-02-16 16:00:00,16,0.52,-0.0020000000000000018,-0.16100000000000003,0.42556000000000005,0.07649519200577251,0.040000000000000036,11.994184266462515,DOWN,0.0,161810.0,15,True,0.495
KXBTC15M-26FEB161930-30,BTC,2026-02-16 16:15:00,16,0.585,-0.016699999999999937,-0.23329999999999995,0.45106,0.16223997781064936,0.16999999999999993,12.01229977196709,UP,1.0,164768.0,15,True,0.52
KXBTC15M-26FEB161945-45,BTC,2026-02-16 16:30:00,16,0.455,-0.0050000000000000044,-0.1275,0.39570000000000005,0.0498694295134805,0.08999999999999997,12.183740120740342,DOWN,0.0,195582.0,15,True,0.585
KXBTC15M-26FEB162000-00,BTC,2026-02-16 16:45:00,16,0.49,0.03300000000000003,0.09420000000000006,0.5506399999999999,0.05208184328535234,0.020000000000000018,12.269910921553352,UP,1.0,213183.0,15,True,0.455
KXBTC15M-26FEB162015-15,BTC,2026-02-16 17:00:00,17,0.6,0.0,0.040000000000000036,0.58534,0.07159093797402015,0.19999999999999996,12.084040595584375,UP,1.0,177023.0,15,True,0.49
KXBTC15M-26FEB162030-30,BTC,2026-02-16 17:15:00,17,0.5,0.027000000000000024,-0.12,0.4605600000000001,0.05217771938289369,0.0,12.080010431866528,DOWN,0.0,176311.0,15,True,0.6
KXBTC15M-26FEB162045-45,BTC,2026-02-16 17:30:00,17,0.495,-0.025000000000000022,0.007000000000000006,0.49905999999999995,0.03889337218601646,0.010000000000000009,12.089432082003901,DOWN,0.0,177980.0,15,True,0.5
KXBTC15M-26FEB162100-00,BTC,2026-02-16 17:45:00,17,0.485,0.0,0.016000000000000014,0.50304,0.019831449770503426,0.030000000000000027,11.899200957851916,DOWN,0.0,147148.0,15,True,0.495
KXBTC15M-26FEB162115-15,BTC,2026-02-16 18:00:00,18,0.535,0.0032999999999999696,-0.2242,0.40596000000000004,0.14237121338248124,0.07000000000000006,12.110662460725516,UP,1.0,181799.0,15,True,0.485
KXBTC15M-26FEB162130-30,BTC,2026-02-16 18:15:00,18,0.52,0.04799999999999993,-0.07580000000000003,0.49368,0.059893852773051745,0.040000000000000036,11.68291293535526,DOWN,0.0,118528.0,15,True,0.535
KXBTC15M-26FEB162145-45,BTC,2026-02-16 18:30:00,18,0.495,0.05669999999999997,-0.04420000000000002,0.48363999999999996,0.03743039406685427,0.010000000000000009,11.732382228426443,DOWN,0.0,124539.0,15,True,0.52
KXBTC15M-26FEB162200-00,BTC,2026-02-16 18:45:00,18,0.54,0.011699999999999933,-0.09000000000000002,0.51384,0.03749584510315776,0.08000000000000007,11.902240865738698,DOWN,0.0,147596.0,15,True,0.495
KXBTC15M-26FEB162215-15,BTC,2026-02-16 19:00:00,19,0.505,0.0050000000000000044,-0.15750000000000003,0.41666,0.07605276063365485,0.010000000000000009,11.733658112389783,DOWN,0.0,124698.0,15,True,0.54
KXBTC15M-26FEB162230-30,BTC,2026-02-16 19:15:00,19,0.545,-0.006700000000000039,0.14669999999999994,0.61574,0.07295879933222583,0.09000000000000008,11.631348295913952,DOWN,0.0,112571.0,15,True,0.505
KXBTC15M-26FEB162245-45,BTC,2026-02-16 19:30:00,19,0.495,-0.0050000000000000044,-0.2217,0.39256,0.08801860257922753,0.010000000000000009,11.653017787546446,DOWN,0.0,115037.0,15,True,0.545
KXBTC15M-26FEB162300-00,BTC,2026-02-16 19:45:00,19,0.52,0.043300000000000005,-0.14300000000000002,0.46956,0.07662789570384926,0.040000000000000036,12.02814741073532,DOWN,0.0,167400.0,15,True,0.495
KXBTC15M-26FEB162315-15,BTC,2026-02-16 20:00:00,20,0.495,0.0,0.050000000000000044,0.528,0.027129319932501096,0.010000000000000009,11.882106876001146,UP,1.0,144654.0,15,True,0.52
KXBTC15M-26FEB162330-30,BTC,2026-02-16 20:15:00,20,0.52,-0.0025000000000000577,-0.2883,0.36860000000000004,0.1243728105334924,0.040000000000000036,12.123994534494567,UP,1.0,184239.0,15,True,0.495
KXBTC15M-26FEB162345-45,BTC,2026-02-16 20:30:00,20,0.405,0.0,-0.3158,0.23784,0.1505106720468685,0.18999999999999995,11.899336865271989,DOWN,0.0,147168.0,15,True,0.52
KXBTC15M-26FEB170000-00,BTC,2026-02-16 20:45:00,20,0.47,0.043300000000000005,0.14329999999999998,0.55958,0.08183249721229334,0.06000000000000005,11.997706863128368,UP,1.0,162381.0,15,True,0.405
KXBTC15M-26FEB170015-15,BTC,2026-02-16 21:00:00,21,0.54,-0.010000000000000009,0.01749999999999996,0.5283,0.03607713957619146,0.08000000000000007,11.700806538969415,DOWN,0.0,120668.0,15,True,0.47
KXBTC15M-26FEB170030-30,BTC,2026-02-16 21:15:00,21,0.38,0.015000000000000013,-0.043999999999999984,0.36204000000000003,0.02625007428560918,0.24,11.822694318756891,DOWN,0.0,136310.0,15,True,0.54
KXBTC15M-26FEB170045-45,BTC,2026-02-16 21:30:00,21,0.48,0.018000000000000016,-0.21399999999999997,0.4053,0.11366688172022665,0.040000000000000036,11.919263525278058,UP,1.0,150130.0,15,True,0.38
KXBTC15M-26FEB170100-00,BTC,2026-02-16 21:45:00,21,0.545,-0.0050000000000000044,-0.13750000000000007,0.5003,0.06829611994835433,0.09000000000000008,11.555266305459753,UP,1.0,104324.0,15,True,0.48
KXBTC15M-26FEB170115-15,BTC,2026-02-16 22:00:00,22,0.585,0.0,0.02400000000000002,0.5852999999999999,0.017503142574977766,0.16999999999999993,11.415125187444316,UP,1.0,90682.0,15,True,0.545
KXBTC15M-26FEB170130-30,BTC,2026-02-16 22:15:00,22,0.485,0.04500000000000004,0.04920000000000002,0.5192399999999999,0.024301242766574735,0.030000000000000027,11.768071432409933,UP,1.0,129064.0,15,True,0.585
KXBTC15M-26FEB170145-45,BTC,2026-02-16 22:30:00,22,0.415,-0.014999999999999958,-0.046699999999999964,0.37716,0.026278553993703692,0.17000000000000004,11.950250931825382,UP,1.0,154855.0,15,True,0.485
KXBTC15M-26FEB170200-00,BTC,2026-02-16 22:45:00,22,0.485,-0.015000000000000013,-0.135,0.39593999999999996,0.07523359887709746,0.030000000000000027,11.57573123576262,DOWN,0.0,106481.0,15,True,0.415
KXBTC15M-26FEB170215-15,BTC,2026-02-16 23:00:00,23,0.405,-0.013300000000000034,-0.065,0.364,0.03198055659303008,0.18999999999999995,11.804019211039552,DOWN,0.0,133788.0,15,True,0.485
KXBTC15M-26FEB170230-30,BTC,2026-02-16 23:15:00,23,0.415,-0.02999999999999997,0.18,0.48184000000000005,0.09379041742097109,0.17000000000000004,11.315132846091688,DOWN,0.0,82053.0,15,True,0.405
KXBTC15M-26FEB170245-45,BTC,2026-02-16 23:30:00,23,0.55,-0.01750000000000007,-0.07750000000000007,0.518,0.04891682737054808,0.10000000000000009,11.320226246030094,UP,1.0,82472.0,15,True,0.415
KXBTC15M-26FEB170300-00,BTC,2026-02-16 23:45:00,23,0.475,-0.019999999999999962,0.010000000000000009,0.4699999999999999,0.02863564212655271,0.050000000000000044,11.462000523784939,DOWN,0.0,95034.0,15,True,0.55
KXBTC15M-26FEB170645-45,BTC,2026-02-17 03:30:00,3,0.115,0.045,0.045,0.14400000000000002,0.019849433241279208,0.77,11.137970163066635,DOWN,0.0,68731.0,15,True,0.475
KXBTC15M-26FEB170700-00,BTC,2026-02-17 03:45:00,3,0.5,-0.032999999999999974,-0.016000000000000014,0.4547,0.03698864690685509,0.0,11.603579366571584,UP,1.0,109488.0,15,True,0.115
KXBTC15M-26FEB170715-15,BTC,2026-02-17 04:00:00,4,0.47,0.015000000000000013,0.046700000000000075,0.51368,0.06718938606655074,0.06000000000000005,10.96949055763861,UP,1.0,58074.0,15,True,0.5
KXBTC15M-26FEB170730-30,BTC,2026-02-17 04:15:00,4,0.46,0.0016999999999999793,-0.03670000000000001,0.43515999999999994,0.028267621053070607,0.07999999999999996,11.369840005826598,UP,1.0,86667.0,15,True,0.47
KXBTC15M-26FEB170745-45,BTC,2026-02-17 04:30:00,4,0.43,0.020000000000000018,0.030000000000000027,0.46454000000000006,0.025658651562387298,0.14,11.29088130909932,UP,1.0,80087.0,15,True,0.46
KXBTC15M-26FEB170800-00,BTC,2026-02-17 04:45:00,4,0.48,-0.0938,-0.2508,0.31918,0.10566831880937634,0.040000000000000036,11.071548164512816,DOWN,0.0,64314.0,15,True,0.43
