ticker,asset,contract_open,hour_of_open,opening_pup,momentum_1min,momentum_3min,mean_pup_5min,pup_vol_5min,conviction_spread,volume_log,actual_outcome,target,volume,n_rows,is_clean,prev_open_pup
KXETH15M-26FEB201530-30,ETH,2026-02-20 12:15:00,12,0.245,0.0050000000000000044,0.0050000000000000044,0.24900000000000003,0.0020000000000000018,0.51,9.002085433155724,DOWN,0.0,8119.0,15,True,
KXETH15M-26FEB201545-45,ETH,2026-02-20 12:30:00,12,0.525,0.030000000000000027,0.12749999999999995,0.55034,0.08277718526260723,0.050000000000000044,8.850230965588816,UP,1.0,6975.0,15,True,0.245
KXETH15M-26FEB201600-00,ETH,2026-02-20 12:45:00,12,0.54,0.01749999999999996,0.02200000000000002,0.5779,0.031189677779675747,0.08000000000000007,10.025439663286875,UP,1.0,22593.0,15,True,0.525
KXETH15M-26FEB201615-15,ETH,2026-02-20 13:00:00,13,0.495,-0.04670000000000002,0.20920000000000005,0.596,0.12173477728241835,0.010000000000000009,10.007126587295614,UP,1.0,22183.0,15,True,0.54
KXETH15M-26FEB201630-30,ETH,2026-02-20 13:15:00,13,0.48,-0.006199999999999983,-0.10999999999999999,0.4316000000000001,0.041644399383350454,0.040000000000000036,9.880014196350485,UP,1.0,19535.0,15,True,0.495
KXETH15M-26FEB201645-45,ETH,2026-02-20 13:30:00,13,0.505,-0.0040000000000000036,0.05799999999999994,0.51762,0.06209381289629425,0.010000000000000009,9.48774481001683,UP,1.0,13196.0,15,True,0.48
KXETH15M-26FEB201700-00,ETH,2026-02-20 13:45:00,13,0.43,0.0,0.012500000000000011,0.44064,0.02183617182566579,0.14,9.815584869360217,UP,1.0,18316.0,15,True,0.505
KXETH15M-26FEB201715-15,ETH,2026-02-20 14:00:00,14,0.495,-0.0675,-0.3608,0.27934000000000003,0.15423956172136902,0.010000000000000009,9.12052506765382,DOWN,0.0,9140.0,15,True,0.43
KXETH15M-26FEB201730-30,ETH,2026-02-20 14:15:00,14,0.525,0.07799999999999996,0.006000000000000005,0.58046,0.06587993928351783,0.050000000000000044,9.13701670755734,UP,1.0,9292.0,15,True,0.495
KXETH15M-26FEB201745-45,ETH,2026-02-20 14:30:00,14,0.475,-0.03999999999999998,-0.01899999999999996,0.45705999999999997,0.03627581012189802,0.050000000000000044,9.72507833256209,DOWN,0.0,16731.0,15,True,0.525
KXETH15M-26FEB201800-00,ETH,2026-02-20 14:45:00,14,0.505,0.0,0.04249999999999998,0.53616,0.06351285224267605,0.010000000000000009,9.115590035430372,UP,1.0,9095.0,15,True,0.475
KXETH15M-26FEB201815-15,ETH,2026-02-20 15:00:00,15,0.495,0.0,-0.034999999999999976,0.475,0.05167204273105525,0.010000000000000009,10.200439030995058,DOWN,0.0,26914.0,15,True,0.505
KXETH15M-26FEB201830-30,ETH,2026-02-20 15:15:00,15,0.505,0.020000000000000018,-0.09999999999999998,0.48318000000000005,0.04109980048613374,0.010000000000000009,9.881855252409014,DOWN,0.0,19571.0,15,True,0.495
KXETH15M-26FEB201845-45,ETH,2026-02-20 15:30:00,15,0.505,-0.05499999999999999,-0.10999999999999999,0.43826,0.03766895804239878,0.010000000000000009,9.986541107671414,DOWN,0.0,21731.0,15,True,0.505
KXETH15M-26FEB201900-00,ETH,2026-02-20 15:45:00,15,0.585,0.020000000000000018,0.023299999999999987,0.60534,0.011765134933352888,0.16999999999999993,9.589735252351163,UP,1.0,14613.0,15,True,0.505
KXETH15M-26FEB201915-15,ETH,2026-02-20 16:00:00,16,0.545,-0.05500000000000005,-0.19500000000000006,0.3995,0.10181355508968341,0.09000000000000008,9.422220731011683,DOWN,0.0,12359.0,15,True,0.585
KXETH15M-26FEB201930-30,ETH,2026-02-20 16:15:00,16,0.53,0.0262,-0.07750000000000001,0.50434,0.03865103362136646,0.06000000000000005,9.114600099695346,DOWN,0.0,9086.0,15,True,0.545
KXETH15M-26FEB201945-45,ETH,2026-02-20 16:30:00,16,0.515,-0.0267,-0.192,0.44858000000000003,0.07149977342621444,0.030000000000000027,9.444463427333401,DOWN,0.0,12637.0,15,True,0.53
KXETH15M-26FEB202000-00,ETH,2026-02-20 16:45:00,16,0.51,-0.06669999999999998,-0.1725,0.4076000000000001,0.06352476682365706,0.020000000000000018,9.527265662897605,DOWN,0.0,13728.0,15,True,0.515
KXETH15M-26FEB202015-15,ETH,2026-02-20 17:00:00,17,0.505,0.05400000000000005,0.1775,0.63326,0.08947262374603751,0.010000000000000009,9.340227632810604,UP,1.0,11386.0,15,True,0.51
