date,outcome_label,price
2026-02-01,dip $35k,0.010652
2026-02-02,dip $35k,0.006187
2026-02-03,dip $35k,0.006521
2026-02-04,dip $35k,0.010604
2026-02-05,dip $35k,0.0225
2026-02-06,dip $35k,0.035229
2026-02-07,dip $35k,0.021522
2026-02-08,dip $35k,0.017896
2026-02-09,dip $35k,0.016521
2026-02-10,dip $35k,0.015458
2026-02-11,dip $35k,0.016313
2026-02-12,dip $35k,0.015271
2026-02-13,dip $35k,0.011438
2026-02-14,dip $35k,0.009587
2026-02-15,dip $35k,0.006958
2026-02-16,dip $35k,0.006479
2026-02-17,dip $35k,0.006146
2026-02-18,dip $35k,0.006717
2026-02-19,dip $35k,0.009687
2026-02-01,dip $40k,0.012935
2026-02-02,dip $40k,0.010917
2026-02-03,dip $40k,0.010521
2026-02-04,dip $40k,0.013625
2026-02-05,dip $40k,0.035813
2026-02-06,dip $40k,0.053667
2026-02-07,dip $40k,0.0365
2026-02-08,dip $40k,0.02875
2026-02-09,dip $40k,0.023208
2026-02-10,dip $40k,0.021708
2026-02-11,dip $40k,0.025771
2026-02-12,dip $40k,0.022375
2026-02-13,dip $40k,0.019292
2026-02-14,dip $40k,0.01237
2026-02-15,dip $40k,0.009479
2026-02-16,dip $40k,0.009583
2026-02-17,dip $40k,0.01094
2026-02-18,dip $40k,0.012687
2026-02-19,dip $40k,0.016688
2026-02-01,dip $45k,0.017543
2026-02-02,dip $45k,0.014979
2026-02-03,dip $45k,0.015104
2026-02-04,dip $45k,0.022354
2026-02-05,dip $45k,0.055
2026-02-06,dip $45k,0.076854
2026-02-07,dip $45k,0.053217
2026-02-08,dip $45k,0.03737
2026-02-09,dip $45k,0.03287
2026-02-10,dip $45k,0.031795
2026-02-11,dip $45k,0.039075
2026-02-12,dip $45k,0.035357
2026-02-13,dip $45k,0.031848
2026-02-14,dip $45k,0.021095
2026-02-15,dip $45k,0.016818
2026-02-16,dip $45k,0.01685
2026-02-17,dip $45k,0.016239
2026-02-18,dip $45k,0.019306
